Skater Name,Nationality,Gender,Age at Competition,Competition Name,Year,City,Country,Discipline,Short Program Score,Free Skate Score,Total Score,Technical Elements Score,Program Components Score,Deductions,Rank,Starting Order,Previous Season Rank,Number of Quad Jumps,Rule Changes Implemented
Haruka Imai,Japan,Female,21,2015 World Championships,2015,Shanghai,China,Ladies' Singles,69.85,138.12,207.97,112.33,95.64,-1.4,7,13,9,0,No
Junhwan Cha,South Korea,Male,15,2016 World Championships,2016,Boston,USA,Men's Singles,74.13,154.58,228.71,127.98,95.25,0.69,17,13,,2,Yes
Maria Sotskova,Russia,Female,19,2017 Grand Prix Final,2017,Nagoya,Japan,Ladies' Singles,68.29,132.41,200.70,105.17,95.53,-1.2,6,11,7,0,No
Nathan Chen,USA,Male,20,2019 Grand Prix Final,2019,Saitama,Japan,Men's Singles,110.38,224.92,335.30,185.92,149.38,-2.0,1,1,1,6,Yes
Polina Tsurskaya,Russia,Female,17,2018 World Championships,2018,Milan,Italy,Ladies' Singles,64.98,128.67,193.65,98.77,94.02,-1.4,7,14,10,0,Yes
Nikita Mikhailov,Russia,Male,22,2017 European Championships,2017,Ostrava,Czech Republic,Men's Singles,81.22,165.13,246.35,131.47,115.88,-0.9,5,8,6,2,Yes
Bradie Tennell,USA,Female,20,2016 National Championships,2016,Shanghai,China,Ladies' Singles,70.71,132.41,203.12,104.72,90.81,0.0,5,21,,0,Yes
Alexei Yagudin,Russia,Male,22,2016 Four Continents Championships,2016,Barcelona,Spain,Men's Singles,86.86,174.65,261.51,142.57,113.72,0.0,2,24,1.0,3,Yes
Keiji Tanaka,Japan,Male,24,2016 National Championships,2016,Shanghai,China,Men's Singles,87.15,170.33,257.48,145.36,113.76,0.0,8,20,9.0,1,Yes
Javier Raya,Spain,Male,22,2016 Four Continents Championships,2016,Helsinki,Finland,Men's Singles,62.3,134.49,196.79,119.6,80.28,0.38,19,6,14.0,0,No
Junhwan Cha,South Korea,Male,15,2016 National Championships,2016,Moscow,Russia,Men's Singles,73.53,152.03,225.56,129.33,94.24,0.0,16,13,,1,No
Daria Usacheva,Russia,Female,14,2016 National Championships,2016,Moscow,Russia,Ladies' Singles,72.88,139.61,212.49,116.03,94.29,0.0,4,24,,0,Yes
Matthias Versluis,Finland,Male,23,2016 Four Continents Championships,2016,Barcelona,Spain,Men's Singles,76.83,150.48,227.31,129.09,94.87,0.0,12,18,14.0,1,No
Miki Ando,Japan,Female,22,2016 European Championships,2016,Boston,USA,Ladies' Singles,62.86,122.81,185.67,102.04,86.89,0.0,3,17,3.0,1,Yes
Sergei Voronov,Russia,Male,31,2016 World Championships,2016,Montreal,Canada,Men's Singles,83.61,157.19,240.8,137.35,113.69,0.0,8,19,9.0,1,No
Nan Song,China,Male,23,2016 Grand Prix Final,2016,Helsinki,Finland,Men's Singles,73.2,139.05,212.25,126.84,88.01,0.99,16,10,12.0,0,No
Bradie Tennell,USA,Female,21,2018 World Championships,2018,Milan,Italy,Ladies' Singles,68.58,133.44,202.02,104.89,97.13,0,6,12,6,0,No
Vincent Zhou,USA,Male,18,2018 Four Continents Championships,2018,Taipei City,Taiwan,Men's Singles,84.53,172.04,256.57,140.21,116.36,0,3,8,4,3,No
Alysa Liu,USA,Female,15,2020 World Junior Championships,2020,Tallinn,Estonia,Ladies' Singles,73.19,138.45,211.64,113.84,99.60,0,1,2,3,0,No
Jason Brown,USA,Male,21,2015 World Championships,2015,Shanghai,China,Men's Singles,84.53,171.55,256.08,135.67,120.41,0,4,6,5,1,No
Gracie Gold,USA,Female,20,2014 World Championships,2014,Saitama,Japan,Ladies' Singles,69.45,135.03,204.48,108.39,96.09,0,5,10,7,0,No
Shoma Uno,Japan,Male,18,2016 World Championships,2016,Boston,USA,Men's Singles,90.74,184.47,275.21,145.36,130.85,0,2,12,5,2,No
Kaetlyn Osmond,Canada,Female,21,2017 World Championships,2017,Helsinki,Finland,Ladies' Singles,75.98,142.15,218.13,115.32,105.83,0,3,8,4,0,No
Yuzuru Hanyu,Japan,Male,22,2017 World Championships,2017,Helsinki,Finland,Men's Singles,98.39,200.49,298.88,158.24,142.25,0,1,5,2,4,No
Patrick Chan,Canada,Male,25,2016 Four Continents Championships,2016,Taipei City,Taiwan,Men's Singles,98.37,203.99,302.36,160.18,143.81,0,1,3,1,3,No
Satoko Miyahara,Japan,Female,18,2016 Four Continents Championships,2016,Taipei City,Taiwan,Ladies' Singles,72.48,142.43,214.91,110.45,104.96,0,1,2,1,0,No
Rika Kihira,Japan,Female,16,2018 Grand Prix Final,2018,Vancouver,Canada,Ladies' Singles,82.51,150.61,233.12,120.36,113.25,0,1,4,1,1,No
Nam Nguyen,Canada,Male,16,2014 World Junior Championships,2014,Sofia,Bulgaria,Men's Singles,72.87,144.19,217.06,75.63,69.56,0,1,1,1,1,No
Wakaba Higuchi,Japan,Female,17,2018 World Championships,2018,Milan,Italy,Ladies' Singles,65.89,145.01,210.90,110.45,100.96,0,2,6,3,0,No
Anna Shcherbakova,Russia,Female,16,2021 World Championships,2021,Stockholm,Sweden,Ladies' Singles,82.64,160.12,242.76,124.19,118.57,-2.4,1,3,1,0,Yes
Rika Kihira,Japan,Female,16,2018 Four Continents Championships,2018,Taipei City,Taiwan,Ladies' Singles,79.12,152.80,231.92,121.33,110.59,-1.2,1,1,1,1,Yes
Daisuke Takahashi,Japan,Male,28,2014 World Championships,2014,Saitama,Japan,Men's Singles,83.29,176.90,260.19,142.37,117.82,-1.6,5,9,7,3,No
Mai Mihara,Japan,Female,17,2017 Four Continents Championships,2017,Gangneung,South Korea,Ladies' Singles,71.84,141.48,213.32,110.32,103.00,-0.5,2,7,5,0,No
Elizaveta Tuktamysheva,Russia,Female,24,2020 Grand Prix Final,2020,Moscow,Russia,Ladies' Singles,78.21,155.62,233.83,122.31,111.52,-1.9,2,5,4,0,No
Mikhail Kolyada,Russia,Male,24,2019 World Championships,2019,Saitama,Japan,Men's Singles,90.45,180.73,271.18,142.37,128.81,-0.7,4,8,3,2,No
Kamila Valieva,Russia,Female,15,2021 Grand Prix Final,2021,Sochi,Russia,Ladies' Singles,85.43,161.32,246.75,125.44,121.31,-2.1,1,2,1,0,Yes
Shoma Uno,Japan,Male,18,2016 World Championships,2016,Boston,USA,Men's Singles,90.74,184.47,275.21,145.36,130.85,-0.8,2,5,4,2,No
Yuzuru Hanyu,Japan,Male,23,2017 World Championships,2017,Helsinki,Finland,Men's Singles,95.85,201.43,297.28,158.42,141.91,-1.0,1,2,1,4,Yes
Kaori Sakamoto,Japan,Female,18,2018 Grand Prix Final,2018,Vancouver,Canada,Ladies' Singles,82.51,149.74,232.25,118.95,112.30,-0.7,3,8,5,0,No
Nathan Chen,USA,Male,22,2021 World Championships,2021,Stockholm,Sweden,Men's Singles,106.25,219.50,325.75,180.12,145.63,-1.5,1,1,1,5,No
Jason Brown,USA,Male,26,2020 Four Continents Championships,2020,Seoul,South Korea,Men's Singles,89.60,182.10,271.70,145.10,126.60,-0.8,2,5,3,1,No
Bradie Tennell,USA,Female,23,2021 World Championships,2021,Stockholm,Sweden,Ladies' Singles,72.95,143.75,216.70,115.80,101.90,-1.3,5,9,6,0,Yes
Vincent Zhou,USA,Male,21,2021 World Championships,2021,Stockholm,Sweden,Men's Singles,93.40,187.85,281.25,150.40,130.85,-1.1,3,6,4,3,No
Alysa Liu,USA,Female,15,2020 World Junior Championships,2020,Tallinn,Estonia,Ladies' Singles,76.15,140.35,216.50,115.25,101.25,-1.4,1,1,1,0,Yes
Gracie Gold,USA,Female,20,2016 Four Continents Championships,2016,Taipei City,Taiwan,Ladies' Singles,71.35,139.85,211.20,112.15,99.05,-1.2,6,10,7,0,No
Kevin Aymoz,France,Male,23,2019 Grand Prix Final,2019,Saitama,Japan,Men's Singles,85.23,176.14,261.37,140.35,121.02,-1.1,5,7,4,2,No
Maé-Bérénice Méité,France,Female,22,2017 European Championships,2017,Ostrava,Czech Republic,Ladies' Singles,69.75,137.54,207.29,109.30,98.99,-1.5,6,10,7,0,Yes
Ashley Wagner,USA,Female,24,2015 World Championships,2015,Shanghai,China,Ladies' Singles,71.80,140.60,212.40,113.20,99.20,-1.5,4,8,5,0,No
Matteo Rizzo,Italy,Male,21,2020 European Championships,2020,Graz,Austria,Men's Singles,82.45,164.10,246.55,130.12,116.43,-1.2,4,6,5,2,No
Carolina Kostner,Italy,Female,30,2018 Olympic Games,2018,Pyeongchang,South Korea,Ladies' Singles,74.25,142.85,217.10,115.35,101.75,-0.6,3,4,3,0,Yes
Boyang Jin,China,Male,22,2020 Four Continents Championships,2020,Seoul,South Korea,Men's Singles,90.40,182.15,272.55,143.50,129.05,-1.9,2,4,2,3,Yes
Junhwan Cha,South Korea,Male,19,2020 World Championships,2020,Montreal,Canada,Men's Singles,86.35,175.85,262.20,138.85,123.35,-1.7,6,7,5,2,No
Young You,South Korea,Female,16,2020 Four Continents Championships,2020,Seoul,South Korea,Ladies' Singles,71.65,140.30,211.95,112.00,99.95,-0.9,5,10,6,0,No
Yuna Kim,South Korea,Female,23,2014 Olympic Games,2014,Sochi,Russia,Ladies' Singles,74.55,148.00,222.55,115.45,107.10,-1.2,1,1,1,0,Yes
Nathalie Weinzierl,Germany,Female,22,2018 World Championships,2018,Milan,Italy,Ladies' Singles,68.45,135.25,203.70,109.15,94.55,-1.5,8,12,9,0,No
Paul Fentz,Germany,Male,25,2017 European Championships,2017,Ostrava,Czech Republic,Men's Singles,71.85,146.35,218.20,117.15,101.05,-1.4,7,13,10,1,No
Michael Brezina,Czech Republic,Male,26,2018 Grand Prix Final,2018,Vancouver,Canada,Men's Singles,85.40,169.75,255.15,137.20,117.95,-0.7,6,10,8,2,No
Petr Gumennik,Russia,Male,18,2019 World Junior Championships,2019,Zagreb,Croatia,Men's Singles,78.35,159.20,237.55,132.25,105.30,-1.6,2,3,2,2,Yes
Karen Chen,USA,Female,22,2021 Skate America,2021,Las Vegas,USA,Ladies' Singles,74.10,142.60,216.70,116.30,100.40,-1.3,4,8,5,0,Yes
Amber Glenn,USA,Female,22,2020 U.S. National Championships,2020,Greensboro,USA,Ladies' Singles,72.10,141.50,213.60,114.50,99.10,-0.7,5,7,5,0,No
Nathan Chen,USA,Male,22,2022 Winter Olympics,2022,Beijing, China,Men's Singles,113.97,218.63,332.60,196.50,136.10,0,1,24,1,5,Yes
Yuma Kagiyama,Japan,Male,18,2022 Winter Olympics,2022,Beijing, China,Men's Singles,108.12,201.93,310.05,180.40,129.65,0,2,23,2,3,Yes
Shoma Uno,Japan,Male,24,2022 Winter Olympics,2022,Beijing, China,Men's Singles,105.90,187.10,293.00,170.30,122.70,0,3,22,3,3,Yes
Anna Shcherbakova,Russia,Female,17,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,80.20,175.75,255.95,141.65,114.30,0,1,24,1,2,Yes
Alexandra Trusova,Russia,Female,17,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,74.60,177.13,251.73,143.10,109.63,0,2,23,2,5,Yes
Kaori Sakamoto,Japan,Female,21,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,79.84,153.29,233.13,123.45,109.68,0,3,22,3,0,Yes
Ilia Malinin,USA,Male,17,2022 World Championships,2022,Montpellier, France,Men's Singles,105.90,199.50,305.40,176.00,129.40,0,3,21,NA,4,Yes
Shoma Uno,Japan,Male,24,2022 World Championships,2022,Montpellier, France,Men's Singles,109.63,202.85,312.48,182.20,130.28,0,1,24,3,4,Yes
Yuma Kagiyama,Japan,Male,18,2022 World Championships,2022,Montpellier, France,Men's Singles,105.69,191.91,297.60,173.50,124.10,0,2,23,2,3,Yes
Kaori Sakamoto,Japan,Female,21,2022 World Championships,2022,Montpellier, France,Ladies' Singles,80.32,155.77,236.09,125.50,110.59,0,1,24,3,0,Yes
Loena Hendrickx,Belgium,Female,22,2022 World Championships,2022,Montpellier, France,Ladies' Singles,75.00,142.70,217.70,115.00,102.70,0,2,23,5,0,Yes
Alysa Liu,USA,Female,16,2022 World Championships,2022,Montpellier, France,Ladies' Singles,71.91,139.28,211.19,112.00,99.19,0,3,22,NA,1,Yes
Ilia Malinin,USA,Male,18,2022 U.S. Championships,2022,Nashville, USA,Men's Singles,103.46,202.92,306.38,177.50,128.88,0,2,23,NA,5,Yes
Nathan Chen,USA,Male,22,2022 U.S. Championships,2022,Nashville, USA,Men's Singles,115.39,212.62,328.01,190.00,138.01,0,1,24,1,6,Yes
Isabeau Levito,USA,Female,15,2022 U.S. Championships,2022,Nashville, USA,Ladies' Singles,71.00,145.70,216.70,117.00,99.70,0,1,24,NA,0,Yes
Alysa Liu,USA,Female,16,2022 U.S. Championships,2022,Nashville, USA,Ladies' Singles,69.50,143.60,213.10,115.50,97.60,0,2,23,3,1,Yes
Kamila Valieva,Russia,Female,15,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,90.45,168.61,259.06,136.00,123.06,-0.29,1,24,NA,3,Yes
Anna Shcherbakova,Russia,Female,17,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,80.37,168.37,248.74,134.50,114.24,0,2,23,1,2,Yes
Dmitri Aliev,Russia,Male,22,2022 European Championships,2022,Tallinn, Estonia,Men's Singles,92.28,179.55,271.83,150.00,121.83,0,2,24,2,2,Yes
Mikhail Kolyada,Russia,Male,27,2022 European Championships,2022,Tallinn, Estonia,Men's Singles,94.36,181.72,276.08,152.00,124.08,0,1,23,1,3,Yes
Daria Usacheva,Russia,Female,15,2022 Russian Nationals,2022,St. Petersburg, Russia,Ladies' Singles,76.45,152.30,228.75,120.00,108.75,0,2,23,NA,0,Yes
Alena Kostornaia,Russia,Female,18,2022 Russian Nationals,2022,St. Petersburg, Russia,Ladies' Singles,78.15,154.00,232.15,122.00,110.15,0,1,24,3,0,Yes
Sasha Trusova,Russia,Female,17,2022 Russian Nationals,2022,St. Petersburg, Russia,Ladies' Singles,75.62,150.50,226.12,119.50,106.62,0,3,22,2,5,Yes
Kazuki Tomono,Japan,Male,24,2022 World Championships,2022,Montpellier, France,Men's Singles,93.56,182.50,276.06,149.00,127.06,0,5,21,NA,2,Yes
Satoko Miyahara,Japan,Female,23,2022 Four Continents,2022,Tallinn, Estonia,Ladies' Singles,68.08,136.45,204.53,110.00,94.53,0,4,23,4,0,Yes
Mai Mihara,Japan,Female,22,2022 Four Continents,2022,Tallinn, Estonia,Ladies' Singles,72.62,144.65,217.27,117.50,99.77,0,1,24,5,0,Yes
Rika Kihira,Japan,Female,19,2022 Four Continents,2022,Tallinn, Estonia,Ladies' Singles,70.85,142.30,213.15,115.00,98.15,0,2,23,2,1,Yes
Kevin Aymoz,France,Male,25,2022 European Championships,2022,Tallinn, Estonia,Men's Singles,90.64,178.50,269.14,148.00,121.14,0,3,22,4,2,Yes
Boyang Jin,China,Male,24,2022 Winter Olympics,2022,Beijing, China,Men's Singles,90.98,179.45,270.43,148.50,121.93,0,9,21,5,3,Yes
Evgenia Medvedeva,Russia,Female,22,2022 Russian Nationals,2022,St. Petersburg, Russia,Ladies' Singles,74.50,149.00,223.50,118.50,105.00,0,4,21,4,0,Yes
Nathan Chen,USA,Male,23,2023 World Championships,2023,Saitama, Japan,Men's Singles,112.50,220.15,332.65,195.00,137.65,0,1,24,1,5,Yes
Shoma Uno,Japan,Male,25,2023 World Championships,2023,Saitama, Japan,Men's Singles,105.90,200.50,306.40,178.00,128.40,0,2,23,2,4,Yes
Yuma Kagiyama,Japan,Male,19,2023 World Championships,2023,Saitama, Japan,Men's Singles,100.85,190.30,291.15,170.00,121.15,0,3,22,3,3,Yes
Jason Brown,USA,Male,28,2023 World Championships,2023,Saitama, Japan,Men's Singles,98.50,185.00,283.50,165.00,118.50,0,4,21,4,0,Yes
Ilia Malinin,USA,Male,18,2023 World Championships,2023,Saitama, Japan,Men's Singles,104.50,195.80,300.30,175.00,125.30,-1,5,20,3,5,Yes
Keegan Messing,Canada,Male,31,2022 Winter Olympics,2022,Beijing, China,Men's Singles,93.24,176.78,270.02,148.50,121.52,0,11,20,5,2,Yes
Boyang Jin,China,Male,25,2023 World Championships,2023,Saitama, Japan,Men's Singles,90.50,180.00,270.50,150.00,120.50,0,6,19,5,3,Yes
Michael Brezina,Czech Republic,Male,32,2022 Winter Olympics,2022,Beijing, China,Men's Singles,85.00,170.00,255.00,140.00,115.00,0,15,18,8,2,Yes
Evgenia Medvedeva,Russia,Female,22,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,75.00,150.00,225.00,120.00,105.00,0,5,21,4,0,Yes
Elizaveta Tuktamysheva,Russia,Female,25,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,78.86,148.69,227.55,122.50,105.05,0,3,20,5,1,Yes
Wakaba Higuchi,Japan,Female,21,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,73.51,140.93,214.44,113.00,101.44,0,5,21,4,1,Yes
Alysa Liu,USA,Female,16,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,69.50,139.45,208.95,111.50,97.45,0,7,20,NA,1,Yes
Madeline Schizas,Canada,Female,19,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,69.60,132.04,201.64,107.00,94.64,0,9,19,7,0,Yes
Daniel Grassl,Italy,Male,19,2022 Winter Olympics,2022,Beijing, China,Men's Singles,88.10,170.95,259.05,145.00,114.05,0,12,17,6,3,Yes
Sota Yamamoto,Japan,Male,22,2022 Four Continents,2022,Tallinn, Estonia,Men's Singles,89.78,180.52,270.30,150.50,119.80,0,1,24,NA,3,Yes
Junhwan Cha,South Korea,Male,20,2022 Four Continents,2022,Tallinn, Estonia,Men's Singles,98.96,174.26,273.22,147.00,126.22,0,2,23,4,2,Yes
Kazuki Tomono,Japan,Male,23,2022 Four Continents,2022,Tallinn, Estonia,Men's Singles,90.09,170.46,260.55,145.50,115.05,0,3,22,5,2,Yes
Jimmy Ma,USA,Male,26,2022 Four Continents,2022,Tallinn, Estonia,Men's Singles,80.12,160.25,240.37,135.00,105.37,0,7,21,8,1,Yes
Ekaterina Kurakova,Poland,Female,19,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,65.98,130.15,196.13,106.00,90.13,0,10,20,12,0,Yes
Alexia Paganini,Switzerland,Female,20,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,66.50,131.00,197.50,107.00,90.50,0,9,19,10,0,Yes
Anastasia Gubanova,Georgia,Female,19,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,70.98,135.00,205.98,110.00,95.98,0,6,18,NA,0,Yes
Emmi Peltonen,Finland,Female,22,2022 European Championships,2022,Tallinn, Estonia,Ladies' Singles,64.50,128.50,193.00,104.00,89.00,0,12,17,15,0,Yes
Deniss Vasiljevs,Latvia,Male,22,2022 European Championships,2022,Tallinn, Estonia,Men's Singles,85.09,165.78,250.87,140.00,110.87,0,4,21,7,1,Yes
Morisi Kvitelashvili,Georgia,Male,26,2022 European Championships,2022,Tallinn, Estonia,Men's Singles,90.85,175.50,266.35,148.00,118.35,0,5,20,6,2,Yes
Paul Fentz,Germany,Male,29,2022 European Championships,2022,Tallinn, Estonia,Men's Singles,78.50,155.00,233.50,132.00,101.50,0,10,19,9,1,Yes
Mariah Bell,USA,Female,25,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,65.38,136.92,202.30,108.00,94.30,0,10,18,2,0,Yes
Karen Chen,USA,Female,22,2022 Winter Olympics,2022,Beijing, China,Ladies' Singles,64.11,131.52,195.63,105.00,90.63,0,16,17,3,0,Yes
